cost_function,baseline,Last_ATLA_ADV_2-19-10
annual_peak_average,1.1615284016562455,1.0
carbon_emissions_total,0.9690184303813252,0.9184063347453428
cost_total,0.9145592664277116,0.8689196957613746
daily_one_minus_load_factor_average,1.0998565234492883,1.1207447596257036
daily_peak_average,1.069779280702298,0.9413092581559652
electricity_consumption_total,0.9774811137661412,0.9284236382010262
monthly_one_minus_load_factor_average,1.0146596747762306,0.9912350706276388
ramping_average,1.2958063971111409,1.0488570602504017
zero_net_energy,1.0703376402683684,1.0586445444760504
