,MAEs
0.02,0.04234585687917911
0.03,0.06293174917396582
0.039999999999999994,0.08208137256245265
0.049999999999999996,0.10045280024359958
0.06,0.11968211246647374
0.06999999999999999,0.13882504520806593
0.07999999999999999,0.15959045375668712
0.09,0.18009277989717634
0.09999999999999999,0.19985706111532542
0.10999999999999999,0.2220082407312614
0.11999999999999998,0.24227739048679203
0.12999999999999998,0.2627518889749958
0.13999999999999999,0.2844552071089886
0.14999999999999997,0.30597390658929746
0.15999999999999998,0.32445072036911493
0.16999999999999996,0.3434200320753935
0.17999999999999997,0.36023459786053513
0.18999999999999997,0.37630771164657834
0.19999999999999996,0.3911561076125811
