Week,MMD,P_value
0,0.012293976873586354,0.32659998536109924
1,0.013072899827252904,0.23999999463558197
2,0.012133739537655286,0.35580000281333923
3,0.01800409884638854,0.03189999982714653
4,0.01193923977885758,0.3926999866962433
5,0.02322076052221389,0.00419999985024333
6,0.011954682491577051,0.3879999816417694
7,0.01762830679985994,0.028599999845027924
8,0.019071904845249232,0.01549999974668026
9,0.01644273525404194,0.052299998700618744
10,0.015804213964484948,0.06189999729394913
11,0.0825527095882439,0.0
12,0.09095570229637717,0.0
13,0.031505799427964165,0.00019999999494757503
14,0.02898273086013825,0.00019999999494757503
15,0.02158818434329568,0.0026000000070780516
16,0.034385581281026756,0.0
17,0.027839566757159595,9.999999747378752e-05
18,0.017938061006425476,0.02329999953508377
19,0.011840151978834479,0.4139999747276306
20,0.01722059694868383,0.029600000008940697
21,0.03431785568585877,0.0
22,0.032406343642508384,0.0
23,0.03730296340714068,0.0
24,0.03167568300526247,0.0
25,0.028943608209034855,9.999999747378752e-05
26,0.019416862380944755,0.006300000008195639
27,0.08037483061589956,0.0
28,0.06404506172664504,0.0
29,0.030271800662087678,9.999999747378752e-05
30,0.024677215046198908,0.00039999998989515007
31,0.03173729452659435,0.0
32,0.012533958291011782,0.3131999969482422
33,0.02290221268582804,0.0032999999821186066
34,0.016973352058857527,0.045099999755620956
35,0.028012702746384344,0.00039999998989515007
36,0.00922984189289422,0.9521999955177307
37,0.022450265472671926,0.004100000020116568
38,0.020160118913004954,0.012399999424815178
39,0.010737052722095797,0.6229000091552734
40,0.013402407124105009,0.21729999780654907
41,0.024989859681704862,0.0018999999156221747
42,0.0255569939992899,0.0016999999061226845
43,0.016624314110979865,0.05869999900460243
44,0.027800704798424114,0.0008999999845400453
45,0.018039084576009445,0.03739999979734421
46,0.018334369528475447,0.03579999879002571
47,0.013175519228387333,0.24309998750686646
48,0.010154783878158602,0.7319999933242798
49,0.01122148909040055,0.5087000131607056
50,0.015927724678111987,0.08549999445676804
